Saliva_PMA_1156750	Saliva_PMA_1290762	Saliva_PMA_1345909	Saliva_PMA_1363817	Saliva_PMA_1369751	Saliva_PMA_1429638	Saliva_PMA_1521973	Saliva_PMA_1551463	Saliva_PMA_1551516	Saliva_PMA_1557169	Saliva_PMA_1583990	Saliva_PMA_1588509	Saliva_PMA_1622382_A	Saliva_PMA_1622382_B	Saliva_PMA_1676542	Saliva_PMA_1688793	Saliva_PMA_1693066	Saliva_PMA_1694835	Saliva_PMA_1700485	Saliva_PMA_1703701	Saliva_PMA_1706829_A	Saliva_PMA_1706829_B	Saliva_PMA_1745624	Saliva_PMA_1751896	Saliva_PMA_1753969	Saliva_PMA_1763530	Saliva_PMA_1768795	Saliva_PMA_1770309	Saliva_PMA_1786437_A	Saliva_PMA_1786437_B	Saliva_PMA_1786951	Saliva_PMA_1787829	Saliva_PMA_1790015_A	Saliva_PMA_1790015_B	Saliva_PMA_1790780	Saliva_PMA_1793619	Saliva_PMA_1799065	Saliva_PMA_1799696	Saliva_PMA_1807262	Saliva_PMA_1810105_A	Saliva_PMA_1810105_B	Saliva_PMA_1813364	Saliva_PMA_1821208_A	Saliva_PMA_1821208_B	Saliva_PMA_1823249_A	Saliva_PMA_1823249_B	Saliva_PMA_1823787	Saliva_PMA_1828385	Saliva_PMA_1829217	Saliva_PMA_1832753	Saliva_PMA_1834836	Saliva_PMA_1836373	Saliva_PMA_1837089_A	Saliva_PMA_1837089_B	Saliva_PMA_1843492_A	Saliva_PMA_1843492_B	Saliva_PMA_1843492_C	Saliva_PMA_1850511	Saliva_PMA_1854510	Saliva_PMA_1866127	Saliva_PMA_1870580	Saliva_PMA_1873920	Saliva_PMA_1879757	Saliva_PMA_1881964	Saliva_PMA_1884527	Saliva_PMA_1886988_A	Saliva_PMA_1886988_B	Saliva_PMA_1888352	Saliva_PMA_1890033	Saliva_PMA_1892471_A	Saliva_PMA_1892471_B	Saliva_PMA_1894439	Saliva_PMA_1895668	Saliva_PMA_1897464	Saliva_PMA_1898160	Saliva_PMA_1899211_A	Saliva_PMA_1899211_B	Saliva_PMA_1900608	Saliva_PMA_1901300	Saliva_PMA_1902316	Saliva_PMA_1902669	Saliva_PMA_1902762	Saliva_PMA_1903009	Saliva_PMA_1903857	Saliva_PMA_1904234	Saliva_PMA_1905350	Saliva_PMA_1905512	Saliva_PMA_1906007	Saliva_PMA_1906432	Saliva_PMA_1907311	Saliva_PMA_1907987	Saliva_PMA_1908773	Saliva_PMA_1909554_A	Saliva_PMA_1909554_B	Saliva_PMA_1910344	Saliva_PMA_1915379	Saliva_PMA_1915542	Saliva_PMA_1916412	Saliva_PMA_1916590	Saliva_PMA_1916725_A	Saliva_PMA_1916725_B	Saliva_PMA_1916907	Saliva_PMA_1918153_A	Saliva_PMA_1918153_B	Saliva_PMA_1918977_A	Saliva_PMA_1918977_B	Saliva_PMA_1919134	Saliva_PMA_1920020	Saliva_PMA_1920286	Saliva_PMA_1921203_A	Saliva_PMA_1921203_B	Saliva_PMA_1924430	Saliva_PMA_1925573	Saliva_PMA_1926378	Saliva_PMA_1927915	Saliva_PMA_1928254	Saliva_PMA_1928263	Saliva_PMA_1930802	Saliva_PMA_1930914	Saliva_PMA_1932704	Saliva_PMA_1932751	Saliva_PMA_1933402	Saliva_PMA_1935528	Saliva_PMA_1936290	Saliva_PMA_1937402	Saliva_PMA_1938128	Saliva_PMA_1939723	Saliva_PMA_1939768	Saliva_PMA_1940036	Saliva_PMA_1940414	Saliva_PMA_1944552	Saliva_PMA_1944672	Saliva_PMA_1945014	Saliva_PMA_1945152	Saliva_PMA_597397_A	Saliva_PMA_597397_B	Feces_PMA_1156750	Feces_PMA_1290762	Feces_PMA_1345909	Feces_PMA_1363817	Feces_PMA_1369751	Feces_PMA_1429638	Feces_PMA_1521973	Feces_PMA_1551463	Feces_PMA_1551516	Feces_PMA_1557169	Feces_PMA_1583990	Feces_PMA_1588509	Feces_PMA_1622382_A	Feces_PMA_1622382_B	Feces_PMA_1676542	Feces_PMA_1688793	Feces_PMA_1693066	Feces_PMA_1694835	Feces_PMA_1700485	Feces_PMA_1703701	Feces_PMA_1706829_A	Feces_PMA_1706829_B	Feces_PMA_1745624	Feces_PMA_1751896	Feces_PMA_1753969	Feces_PMA_1763530	Feces_PMA_1768795	Feces_PMA_1770309	Feces_PMA_1786437_A	Feces_PMA_1786437_B	Feces_PMA_1786951	Feces_PMA_1787829	Feces_PMA_1790015_A	Feces_PMA_1790015_B	Feces_PMA_1790780	Feces_PMA_1793619	Feces_PMA_1799065	Feces_PMA_1799696	Feces_PMA_1807262	Feces_PMA_1810105_A	Feces_PMA_1810105_B	Feces_PMA_1813364	Feces_PMA_1821208_A	Feces_PMA_1821208_B	Feces_PMA_1823249_A	Feces_PMA_1823249_B	Feces_PMA_1823787	Feces_PMA_1828385	Feces_PMA_1829217	Feces_PMA_1832753	Feces_PMA_1834836	Feces_PMA_1836373	Feces_PMA_1837089_A	Feces_PMA_1837089_B	Feces_PMA_1843492_A	Feces_PMA_1843492_B	Feces_PMA_1843492_C	Feces_PMA_1850511	Feces_PMA_1854510	Feces_PMA_1866127	Feces_PMA_1870580	Feces_PMA_1873920	Feces_PMA_1879757	Feces_PMA_1881964	Feces_PMA_1884527	Feces_PMA_1886988_A	Feces_PMA_1886988_B	Feces_PMA_1888352	Feces_PMA_1890033	Feces_PMA_1892471_A	Feces_PMA_1892471_B	Feces_PMA_1894439	Feces_PMA_1895668	Feces_PMA_1897464	Feces_PMA_1898160	Feces_PMA_1899211_A	Feces_PMA_1899211_B	Feces_PMA_1900608	Feces_PMA_1901300	Feces_PMA_1902316	Feces_PMA_1902669	Feces_PMA_1902762	Feces_PMA_1903009	Feces_PMA_1903857	Feces_PMA_1904234	Feces_PMA_1905350	Feces_PMA_1905512	Feces_PMA_1906007	Feces_PMA_1906432	Feces_PMA_1907311	Feces_PMA_1907987	Feces_PMA_1908773	Feces_PMA_1909554_A	Feces_PMA_1909554_B	Feces_PMA_1910344	Feces_PMA_1915379	Feces_PMA_1915542	Feces_PMA_1916412	Feces_PMA_1916590	Feces_PMA_1916725_A	Feces_PMA_1916725_B	Feces_PMA_1916907	Feces_PMA_1918153_A	Feces_PMA_1918153_B	Feces_PMA_1918977_A	Feces_PMA_1918977_B	Feces_PMA_1919134	Feces_PMA_1920020	Feces_PMA_1920286	Feces_PMA_1921203_A	Feces_PMA_1921203_B	Feces_PMA_1924430	Feces_PMA_1925573	Feces_PMA_1926378	Feces_PMA_1927915	Feces_PMA_1928254	Feces_PMA_1928263	Feces_PMA_1930802	Feces_PMA_1930914	Feces_PMA_1932704	Feces_PMA_1932751	Feces_PMA_1933402	Feces_PMA_1935528	Feces_PMA_1936290	Feces_PMA_1937402	Feces_PMA_1938128	Feces_PMA_1939723	Feces_PMA_1939768	Feces_PMA_1940036	Feces_PMA_1940414	Feces_PMA_1944552	Feces_PMA_1944672	Feces_PMA_1945014	Feces_PMA_1945152	Feces_PMA_597397_A	Feces_PMA_597397_B
Saliva_PMA_1156750	0	0.446518311799719	0.469861920497779	0.389801564261074	0.404745922126626	0.717429123072476	0.389551942435689	0.370221734253286	0.419236084857424	0.364350012066794	0.377510156349927	0.382508058504897	0.472530737578074	0.288479887468117	0.331078310987102	0.389189834396828	0.448463689421743	0.356951254227706	0.427357924455914	0.443883572091086	0.420542040247896	0.366308283116899	0.336531159160942	0.415229700254586	0.4049035734705	0.371517169590952	0.39985926943344	0.351826918113461	0.318106844840147	0.351476633387794	0.407323217300406	0.392147401911111	0.390704831138551	0.343224812785665	0.432307017583299	0.400150592288401	0.388395304247312	0.402789035878145	0.351107539204159	0.42742623531183	0.625915255588326	0.36910941749347	0.408879071192203	0.556249320067537	0.350927688613626	0.352982454199079	0.34458612378657	0.401402360301907	0.41624433543438	0.439626095518913	0.430083724592415	0.402815055189461	0.418772314193034	0.45351397170076	0.359072019737187	0.392640023545627	0.355653523519657	0.334554393025544	0.39287107060471	0.439712057310368	0.420301771725987	0.437365834050906	0.408608147682751	0.423758977477986	0.383561997592605	0.421010229650085	0.402658205269609	0.412310033298189	0.40246197300318	0.38380393623897	0.411794549106192	0.384679011510822	0.380996253724152	0.293221905633348	0.364870663751327	0.41354265933362	0.36960217251277	0.419827562896665	0.415585803959664	0.458847550747638	0.361455293971512	0.386888419702699	0.330547609114568	0.417548116904804	0.393450845604852	0.47325504297806	0.445862247080188	0.437947418765706	0.342652694682002	0.38746445704766	0.435834120594861	0.370050664288742	0.403392350966939	0.430805972786154	0.495572995578338	0.40693693984335	0.428299013520891	0.371105461481103	0.391676141624671	0.4079095983692	0.426180246732839	0.389490650904506	0.447569719476191	0.42159108590061	0.354545890338725	0.372119244581986	0.418214197060505	0.425682974883865	0.408379815225342	0.416138732228783	0.482161558760351	0.338784461631984	0.43030969720544	0.408089801511237	0.377163438680635	0.405341471367681	0.453444793444299	0.36063121193674	0.413160055717336	0.410946302646399	0.363950907934738	0.388143170346109	0.423370523908765	0.38517390902816	0.437026838252729	0.40036350602877	0.416598881505195	0.428871425867965	0.386816870965344	0.349540282810425	0.455974016320227	0.406710089235325	0.379977425561189	0.368583430722316	0.405325996849708	0.394492903114038	0.898325586783552	0.824456325031943	0.785485947734508	0.8774114304305	0.883935152006039	0.858504683800685	0.676938541010151	0.843539139513865	0.825596577871987	0.872900927108117	0.862830728211862	0.835487031177744	0.872662055121404	0.891358584644414	0.909431833533415	0.845990457082723	0.751123400634195	0.858768590623557	0.876874718556525	0.865698016942738	0.859042795273157	0.820879784175063	0.908850104706339	0.857992893453721	0.890954915026764	0.888011791508891	0.857690294427957	0.81785939901903	0.657904971732263	0.873679594987628	0.839299442899171	0.861161850026049	0.929568697265424	0.898252864502983	0.891197099237383	0.906173008624551	0.872790417138638	0.845430136363923	0.807005096318898	0.876683454725614	0.853658925974274	0.873737858777004	0.83875758900027	0.860729720465866	0.898559452983202	0.88109229173868	0.896343421327936	0.886869594722034	0.863748491551348	0.913464555406135	0.697403707376086	0.786274480195666	0.812446742989413	0.781404761823161	0.920456201610458	0.929582656704138	0.920277070771597	0.829103262628992	0.802184416696888	0.89010471154843	0.908940995316436	0.845980408230183	0.885771426174809	0.918289905442268	0.879057963329563	0.875304438396952	0.885668361805463	0.870734549080587	0.894609722683716	0.884386808043092	0.867948702692196	0.844987744689118	0.877229056863628	0.825163025892424	0.679019140358223	0.933972409929863	0.90403927718115	0.825063530297951	0.886040860891371	0.81884062273525	0.8850498427188	0.914285438531525	0.899131048213021	0.895078316486502	0.875632056544809	0.820743832131096	0.887478136434124	0.826660053294515	0.819389930253298	0.887560720956485	0.865057455782734	0.837231468522235	0.89571673964766	0.890556419083678	0.822177527635743	0.892202297879917	0.888397968162655	0.83605301182077	0.879134061115218	0.881794946439761	0.856656433628752	0.709825688237831	0.80470920197178	0.875966805194902	0.884343152097001	0.84032967442382	0.876810414565211	0.837475471390332	0.876388487797802	0.761025496914214	0.768475783493831	0.83074513176873	0.851906181794713	0.844886682431194	0.873162193179897	0.868037224136359	0.878051865111182	0.847755844838834	0.850240373322476	0.746978850511227	0.853507551953316	0.797600694389742	0.832938951889025	0.83595837309861	0.815339909683485	0.863349724939416	0.824943831653751	0.790456179854919	0.828201629292119	0.858896675705009	0.904318111369852	0.864273382481169	0.906680430827871	0.886329057661734	0.77045478742659	0.88605300774292
Saliva_PMA_1290762	0.446518311799719	0	0.302379987714506	0.287240965423493	0.300989354902133	0.750116562314396	0.260878920775555	0.390303539704674	0.317177629285615	0.321365456397539	0.362676885001974	0.278031490901689	0.491759147822131	0.408276767312498	0.334962758844717	0.304291500565776	0.228361769284004	0.33938020570139	0.244881279667212	0.343261426029366	0.341620821396293	0.274292036093746	0.332026917271584	0.412907470859493	0.39532134342835	0.306838489689168	0.302169562484923	0.279635888051324	0.340543470102606	0.291106671362005	0.336126093052974	0.274143573295642	0.384113660534578	0.382281110106836	0.253693059418171	0.261479520832922	0.292372482038283	0.288759235675154	0.304477486041621	0.30725006825824	0.628774357909368	0.280975812805685	0.302306261859256	0.485468918597279	0.328400150287328	0.319365654663291	0.379062088879946	0.283119950362607	0.246538006773683	0.267516771476677	0.402200021760297	0.317728796395403	0.276566921520462	0.28121541614605	0.33951582546634	0.332413251834066	0.367876672512067	0.335051534562832	0.341369427747921	0.238448301202157	0.292614149224245	0.345438584164219	0.250606513909916	0.222020368443365	0.42816277012839	0.323425375132196	0.310331181418639	0.267590761574052	0.282846402372233	0.324746757896548	0.299830826517397	0.303412904600699	0.301686459727246	0.365387092430894	0.31010931704391	0.320224950277759	0.329582274275305	0.284353688310489	0.486543770566871	0.414028616870727	0.282229623486547	0.267809735101804	0.352678687366874	0.382491509456031	0.294752337371499	0.584946648068605	0.317502920900006	0.347398795466931	0.359083541431788	0.290236970697208	0.320276612779198	0.31082044808064	0.289267430218121	0.26655277069279	0.477810296718812	0.263717468353531	0.273645691298044	0.302587716649556	0.353874036489216	0.405831171625014	0.422955145638916	0.306137813980293	0.377547817990442	0.295978786007483	0.317734906135196	0.314415064365976	0.290098091225967	0.217189233602652	0.244990601913643	0.306378031423409	0.268546855627227	0.320535487963722	0.439581128878773	0.330121609639309	0.368403524728576	0.343095209307446	0.283498281392334	0.261529303620372	0.276453326643525	0.315667741909054	0.313201027841533	0.310867115032422	0.249340610015561	0.27461776670578	0.267758715261868	0.270724711995209	0.450742837857035	0.235814996267947	0.25231776261893	0.332632105226103	0.273612395919849	0.344570365756617	0.289436903828943	0.367654094294176	0.350021538038634	0.296224687443429	0.894806331278861	0.785319436621078	0.768045776341911	0.873610005845194	0.86200352780878	0.857285551244491	0.650556845312375	0.857906855264284	0.793990759829563	0.848254305957391	0.836252348364432	0.83178440960855	0.852552886456597	0.865338129604806	0.887345388794383	0.820615399467267	0.679203456477713	0.829844477886321	0.86922097930203	0.857585602805609	0.850093207479322	0.815812661363455	0.880749047776162	0.851205457336808	0.871235136550736	0.863683125801201	0.846956104917269	0.785922882332051	0.690406744129381	0.901142008428264	0.807718044302043	0.832307219837331	0.905632246391667	0.874064775636952	0.853549564652221	0.883012584940732	0.83114161105324	0.824835603114885	0.806004428279434	0.857336435287388	0.839196440105116	0.851489052804121	0.813305828338515	0.826329085065338	0.865487158029564	0.846642975725809	0.87002393976875	0.863384344157697	0.854670551993256	0.898170055083767	0.694338424066304	0.767131642615857	0.794767679805537	0.780097122734082	0.895909268204598	0.905622944419077	0.899976133147741	0.823556389143114	0.795012647713973	0.875189595525581	0.886957189885814	0.830365572912261	0.843060836182505	0.89152244550013	0.862158146651796	0.860623143155262	0.869697981374052	0.854114409560822	0.892149120631374	0.851295502671232	0.838617008758078	0.811874152322616	0.847985696399894	0.81118492487234	0.625868042317022	0.906320718828338	0.867438258006761	0.800398822690225	0.868040499640125	0.791287590685701	0.856841782547062	0.888759308273429	0.879486181421701	0.865220991225902	0.842983031731868	0.81306043473803	0.862497660598115	0.796334182768722	0.813941732043415	0.859795870298274	0.826127253777541	0.814114730678624	0.886717195106274	0.873075414725594	0.805285759342677	0.865443593656513	0.851995135506719	0.83003436216744	0.862047974362738	0.879896060598632	0.851385349992144	0.745414590833268	0.777479701329735	0.839260037309244	0.855868325511057	0.815493865075586	0.876199648345911	0.820284388570811	0.846002689920704	0.736166174020443	0.746749827648365	0.80519133107492	0.829666508837065	0.817541001938935	0.85103162518374	0.85283380215904	0.852100403756438	0.820299609247738	0.816375059704445	0.682948260421495	0.820982800925221	0.757286320611038	0.795801486271162	0.810568218643278	0.774446596957078	0.82737051452608	0.798972863130297	0.744738777857969	0.794955983680166	0.844212806328522	0.875257354429186	0.862134635219849	0.867326524472203	0.871965866372011	0.751873894685231	0.872643686562094
Saliva_PMA_1345909	0.469861920497779	0.302379987714506	0	0.350277342944965	0.374419306456123	0.739216928210408	0.32596365722531	0.395388646543632	0.407967684849667	0.384761441320768	0.408383584905046	0.313965408669985	0.392382855085618	0.426928978348754	0.360281952382413	0.378302092307719	0.332137185509515	0.393247470830234	0.332321335197259	0.356904586250903	0.30199018696656	0.301598732602391	0.358265158736323	0.425900366044552	0.452832908008053	0.393726488373936	0.371326529283184	0.371580261082775	0.369283735564701	0.344404205723913	0.373509320752181	0.321535179227459	0.387545325990733	0.374916670790019	0.354890929495916	0.329221790813234	0.401471190132638	0.345050328326917	0.34079243097881	0.42901888210284	0.648693737228131	0.347404567723983	0.365929452351303	0.534967376762721	0.398694270207251	0.385692558156731	0.432334253137583	0.350569865893267	0.271547411107933	0.364704151639838	0.39626450693477	0.363401769654601	0.317133594814933	0.340250812648372	0.356067118531989	0.353634395733099	0.387986961713928	0.347138333289715	0.405679555051019	0.352836432239384	0.34865738012789	0.33685675778727	0.37871932644642	0.343482797029871	0.418252326352995	0.384059225428629	0.396201655394007	0.295738868841196	0.353284339250247	0.37169782700014	0.393685680220883	0.370047585969809	0.395461178758656	0.38745210331272	0.309244048592114	0.380611294993794	0.382412534057433	0.381999496288123	0.493831939081282	0.504672131147541	0.375658984928362	0.360197204341437	0.450865489652552	0.392837438591412	0.402574307129822	0.582274894894987	0.40424999612047	0.361619441187791	0.385142949671947	0.363926318983687	0.379043060543424	0.377884762071715	0.368822604711232	0.345435212993945	0.41503935732466	0.307337450672408	0.345518190551907	0.299092324656199	0.408912900169908	0.419041627535499	0.45208656124264	0.375523286848177	0.442725871290512	0.377597993923588	0.399644409065163	0.39415631119329	0.380290711213459	0.305356720764596	0.336316138926313	0.410810528891552	0.375868609639806	0.389960080361103	0.494314070014668	0.390251379128567	0.390549862476053	0.356860006653942	0.382902937471572	0.335627385040925	0.363115353717592	0.337844309941871	0.39492481113149	0.371552108988217	0.359369666752107	0.34768132000746	0.400352842680672	0.366132575447164	0.441005481718734	0.358252151650413	0.336283442018137	0.421193961075838	0.353956701634274	0.400390613122262	0.393050994314067	0.420054584367469	0.419146914097194	0.378355858392146	0.875291966857328	0.766086086715937	0.706789969996063	0.850220444717353	0.831779875424841	0.834451774124331	0.656073508533154	0.81086387434555	0.778626482304784	0.839325439980736	0.811916129212385	0.803746991443729	0.813861511803929	0.837719990529556	0.857842940075609	0.7873970937221	0.676736879037878	0.80437632391096	0.841084333757385	0.83568175308739	0.820166846706185	0.78608085478834	0.862434969168635	0.829748904367081	0.832982807836612	0.84888602570226	0.826278565949766	0.774365806051235	0.696493486785574	0.896767925932559	0.785630170245555	0.800637272031142	0.88423933427214	0.851827504771764	0.831027043594488	0.865919890194774	0.821429007218423	0.795100147442089	0.780879094985239	0.830386133321336	0.831546366249391	0.830783021807702	0.772319018542191	0.795942803873726	0.840325274234977	0.822745352510071	0.838861058872637	0.842382088532206	0.823234624013171	0.866294815817349	0.649054407913879	0.729908505914078	0.733467272337254	0.728873522187572	0.876716162754635	0.887401916100576	0.880421015227844	0.801284649241058	0.749071373682879	0.855677119121179	0.857254696497516	0.776985532534209	0.816896497795881	0.861331356616542	0.843209057049084	0.820060206189568	0.827285601255704	0.808674425487861	0.872462959852541	0.823664846318231	0.807047421731713	0.784026030618185	0.82341788124613	0.789497366979682	0.622208078253369	0.884848447016927	0.849248895096013	0.785949348139126	0.834650480707836	0.762007412929981	0.826473750543359	0.870523539714643	0.842586943948216	0.831786321348491	0.814559002818065	0.813432662708269	0.835437479121996	0.773862163206174	0.791898034826581	0.838068378395873	0.808424155515809	0.782800029745698	0.844303694714241	0.849672455353072	0.788345290179691	0.846220381401878	0.826436510365679	0.810635642089998	0.830452065242901	0.841605671759591	0.810847786137716	0.750449101516571	0.762123458316701	0.818431271112118	0.82263377573223	0.770025838850244	0.851401585629281	0.7864780898202	0.829184638707867	0.717835828724231	0.715690445393932	0.770676338900249	0.79569384547995	0.791894474091664	0.816248723866064	0.828923918165647	0.837187937317931	0.790482569451089	0.802750239139209	0.671184419986682	0.791465901339564	0.724333472226197	0.781810565312798	0.779755669826912	0.756923813013552	0.810500531839067	0.774859213569428	0.730875232499283	0.760955370832306	0.80429988814163	0.858133887795641	0.840669907061985	0.839324297839441	0.842198501367055	0.749303565223853	0.835747083096939
Saliva_PMA_1363817	0.389801564261074	0.287240965423493	0.350277342944965	0	0.264773775039956	0.74921616772122	0.22908907938159	0.333833779807008	0.301970086986526	0.313096686597678	0.368870712083857	0.262445218906556	0.459312860895346	0.357653438624801	0.303960974269126	0.285231915302258	0.276746581821906	0.336727959790936	0.247456375401422	0.358257531266582	0.384576296643585	0.306648117414405	0.296510050709535	0.389635593633659	0.397632442465066	0.233345424278562	0.278462094839821	0.293590594303447	0.326374303403413	0.280522948912946	0.343465938131048	0.24494449057553	0.325188688825009	0.303741775241564	0.332656354715028	0.298854133453542	0.288651871505069	0.225242850220643	0.267983268222224	0.330663788741161	0.666643134168286	0.250061034205127	0.242742519603866	0.462188301044328	0.317004631289213	0.294056785724966	0.300430061803705	0.272585733239646	0.285542871168868	0.248716383186956	0.323993743111049	0.248808102025882	0.293579360989316	0.250068938729362	0.226418657434292	0.238513904995353	0.270360968086449	0.307976031416385	0.234223127363269	0.298375731810295	0.258048846462108	0.348371530416724	0.289329798865534	0.332373335215328	0.372229280396577	0.289149597655561	0.286932266874724	0.311258064099083	0.274445748858843	0.317729697525834	0.306562134734036	0.254294261485052	0.325318450035713	0.322577923651909	0.341206258939761	0.26356636303579	0.306905510963982	0.284004424831242	0.464437009157577	0.434833266198019	0.287117733128795	0.263182677342676	0.309393356732571	0.306086191050183	0.245946225439504	0.556581534640171	0.287364517681127	0.373030828128888	0.378815172010071	0.28358304712127	0.354062760347044	0.261073452893876	0.321136829684335	0.324529999690176	0.474433985337192	0.302603139211358	0.365574929735403	0.271366466046702	0.350395183830589	0.422341771051016	0.459985492472714	0.281656071926161	0.430699999087599	0.306394063520938	0.318528581735819	0.285629952248518	0.267528527477105	0.294564714562868	0.238788974078447	0.265727466602217	0.284674461702369	0.287995162278269	0.462257708566377	0.354717415426575	0.294699689405248	0.353935317109508	0.287073505559886	0.288943246826453	0.271025518637886	0.334058682133986	0.282908522031247	0.233371078867129	0.265641525726875	0.29980987239222	0.254770052055332	0.289765235078096	0.431890514211168	0.302508638742187	0.250664372689936	0.307535028212769	0.288847914198153	0.395694939123246	0.277522511150383	0.342956578281036	0.311671258605461	0.286415475738611	0.904622768508608	0.817838046990752	0.788970335000017	0.876906632887864	0.873439824964089	0.867898905084621	0.688843459603528	0.872495797126619	0.817615807506476	0.863823604820101	0.861504223730021	0.848615935986267	0.86569169879701	0.878705878002065	0.897806157968518	0.835754769271523	0.716658795507279	0.853564445074832	0.883620367487681	0.868730908359856	0.864489491771544	0.831885881008051	0.890992341868519	0.862444457943684	0.884614302532939	0.876568139576085	0.8659094113834	0.805405597664503	0.716414959733811	0.904397096525798	0.823978925162605	0.852114301893453	0.916030786248771	0.88528208808346	0.871887196566897	0.892786928387876	0.855956727291081	0.843385250849183	0.807477355038022	0.87173184966473	0.860687318677954	0.873100829523618	0.838403176655694	0.844971180695027	0.882390619268893	0.865811259868232	0.89065357538447	0.88067023910493	0.867698804639302	0.907900569595565	0.706110865347438	0.793355190487759	0.815665761491403	0.797457531273671	0.90679014360422	0.91625059142592	0.907888935122399	0.848172632800179	0.799241469245816	0.888018290336497	0.896997662549074	0.844924541803754	0.866680686970943	0.903676453001481	0.880477418453685	0.86579594958433	0.874731403663912	0.867544216332858	0.903844299448149	0.875918966853982	0.860947013422059	0.831632430260791	0.871268412070785	0.82645289388653	0.670393467402456	0.916708696429016	0.885410777381825	0.823513164145794	0.88132968100471	0.816850368201276	0.872663651666813	0.900254688326437	0.894103164058198	0.887654809429147	0.861833647372083	0.845013994568034	0.879551600291879	0.81612342303798	0.829507712264894	0.879748774059033	0.844321315995485	0.831943815133666	0.892263291655058	0.890224088591026	0.822531485373493	0.887677622063035	0.879585799284868	0.843127712803834	0.875486013589479	0.884438428017629	0.856787522930533	0.760666091050579	0.799961667671634	0.862140038884225	0.86856899552994	0.833861458201961	0.88075436598258	0.839998990008936	0.863080137714011	0.769450926550584	0.775180800361504	0.81928512668985	0.843857456568487	0.835237478691961	0.866202370534063	0.872433663163497	0.874643360711912	0.843278309657981	0.837883931731243	0.730000669863909	0.840025044505934	0.779069940013456	0.825228007379541	0.829038661808872	0.801729504749951	0.848731788913175	0.820427363936204	0.76639257764683	0.823973855490376	0.856952333909607	0.890916645795044	0.873221150480884	0.880975961909635	0.880587880963818	0.77228941503764	0.879743996896932
