Saliva_1156750	Saliva_1290762	Saliva_1345909	Saliva_1363817	Saliva_1369751	Saliva_1429638	Saliva_1521973	Saliva_1551463	Saliva_1551516	Saliva_1557169	Saliva_1583990	Saliva_1588509	Saliva_1622382_A	Saliva_1622382_B	Saliva_1676542	Saliva_1688793	Saliva_1693066	Saliva_1694835	Saliva_1700485	Saliva_1703701	Saliva_1706829_A	Saliva_1706829_B	Saliva_1745624	Saliva_1751896	Saliva_1753969	Saliva_1763530	Saliva_1768795	Saliva_1770309	Saliva_1786437_A	Saliva_1786437_B	Saliva_1786951	Saliva_1787829	Saliva_1790015_A	Saliva_1790015_B	Saliva_1790780	Saliva_1793619	Saliva_1799065	Saliva_1799696	Saliva_1802801	Saliva_1807262	Saliva_1810105_A	Saliva_1810105_B	Saliva_1813364	Saliva_1821208_A	Saliva_1821208_B	Saliva_1823249_A	Saliva_1823249_B	Saliva_1823787	Saliva_1828385	Saliva_1829217	Saliva_1832753	Saliva_1834836	Saliva_1836373	Saliva_1837089_A	Saliva_1837089_B	Saliva_1843492_A	Saliva_1843492_B	Saliva_1843492_C	Saliva_1850511	Saliva_1854510	Saliva_1866127	Saliva_1870580	Saliva_1873920	Saliva_1879757	Saliva_1881964	Saliva_1884527	Saliva_1886988_A	Saliva_1886988_B	Saliva_1888352	Saliva_1890033	Saliva_1892471_A	Saliva_1892471_B	Saliva_1894439	Saliva_1895668	Saliva_1897464	Saliva_1898160	Saliva_1899211_A	Saliva_1899211_B	Saliva_1900608	Saliva_1901300	Saliva_1902316	Saliva_1902669	Saliva_1902762	Saliva_1903009	Saliva_1903857	Saliva_1904234	Saliva_1905350	Saliva_1905512	Saliva_1906007	Saliva_1906432	Saliva_1907311	Saliva_1907987	Saliva_1908773	Saliva_1909554_A	Saliva_1909554_B	Saliva_1910344	Saliva_1915379	Saliva_1915542	Saliva_1916412	Saliva_1916590	Saliva_1916725_A	Saliva_1916725_B	Saliva_1916907	Saliva_1918153_A	Saliva_1918153_B	Saliva_1918977_A	Saliva_1918977_B	Saliva_1919134	Saliva_1920020	Saliva_1920286	Saliva_1921203_A	Saliva_1921203_B	Saliva_1924430	Saliva_1925573	Saliva_1926378	Saliva_1927915	Saliva_1928254	Saliva_1928263	Saliva_1930802	Saliva_1930914	Saliva_1932704	Saliva_1932751	Saliva_1933402	Saliva_1935110	Saliva_1935528	Saliva_1936290	Saliva_1937402	Saliva_1938128	Saliva_1939723	Saliva_1939768	Saliva_1940036	Saliva_1940414	Saliva_1944552	Saliva_1944672	Saliva_1945014	Saliva_1945152	Saliva_597397_A	Saliva_597397_B	Feces_1156750	Feces_1290762	Feces_1345909	Feces_1363817	Feces_1369751	Feces_1429638	Feces_1521973	Feces_1551463	Feces_1551516	Feces_1557169	Feces_1583990	Feces_1588509	Feces_1622382_A	Feces_1622382_B	Feces_1676542	Feces_1688793	Feces_1693066	Feces_1694835	Feces_1700485	Feces_1703701	Feces_1706829_A	Feces_1706829_B	Feces_1745624	Feces_1751896	Feces_1753969	Feces_1763530	Feces_1768795	Feces_1770309	Feces_1786437_A	Feces_1786437_B	Feces_1786951	Feces_1787829	Feces_1790015_A	Feces_1790015_B	Feces_1790780	Feces_1793619	Feces_1799065	Feces_1799696	Feces_1802801	Feces_1807262	Feces_1810105_A	Feces_1810105_B	Feces_1813364	Feces_1821208_A	Feces_1821208_B	Feces_1823249_A	Feces_1823249_B	Feces_1823787	Feces_1828385	Feces_1829217	Feces_1832753	Feces_1834836	Feces_1836373	Feces_1837089_A	Feces_1837089_B	Feces_1843492_A	Feces_1843492_B	Feces_1843492_C	Feces_1850511	Feces_1854510	Feces_1866127	Feces_1870580	Feces_1873920	Feces_1879757	Feces_1881964	Feces_1884527	Feces_1886988_A	Feces_1886988_B	Feces_1888352	Feces_1890033	Feces_1892471_A	Feces_1892471_B	Feces_1894439	Feces_1895668	Feces_1897464	Feces_1898160	Feces_1899211_A	Feces_1899211_B	Feces_1900608	Feces_1901300	Feces_1902316	Feces_1902669	Feces_1902762	Feces_1903009	Feces_1903857	Feces_1904234	Feces_1905350	Feces_1905512	Feces_1906007	Feces_1906432	Feces_1907311	Feces_1907987	Feces_1908773	Feces_1909554_A	Feces_1909554_B	Feces_1910344	Feces_1915379	Feces_1915542	Feces_1916412	Feces_1916590	Feces_1916725_A	Feces_1916725_B	Feces_1916907	Feces_1918153_A	Feces_1918153_B	Feces_1918977_A	Feces_1918977_B	Feces_1919134	Feces_1920020	Feces_1920286	Feces_1921203_A	Feces_1921203_B	Feces_1924430	Feces_1925573	Feces_1926378	Feces_1927915	Feces_1928254	Feces_1928263	Feces_1930802	Feces_1930914	Feces_1932704	Feces_1932751	Feces_1933402	Feces_1935110	Feces_1935528	Feces_1936290	Feces_1937402	Feces_1938128	Feces_1939723	Feces_1939768	Feces_1940036	Feces_1940414	Feces_1944552	Feces_1944672	Feces_1945014	Feces_1945152	Feces_597397_A	Feces_597397_B
Saliva_1156750	0	0.327179880931058	0.20921980673676	0.287547973059	0.222823748978576	0.273739340610816	0.286087380805564	0.217464169725471	0.300666311907321	0.264573306141809	0.228518728732812	0.264444192600974	0.189356064186638	0.184379437617551	0.280875100723514	0.241736034710529	0.323741128599223	0.303052058267591	0.239091373630308	0.304467275434427	0.263648260705254	0.242403824685464	0.274723435081178	0.340267837696417	0.209143286700647	0.30050520417176	0.247486741840638	0.336715726827799	0.336466225283064	0.23512941351849	0.258159464863484	0.237040199004396	0.204219445480992	0.217536607866359	0.272337044655253	0.302319100206695	0.275034853980227	0.238799231489826	0.201987621275111	0.263427322344243	0.338618510029029	0.388915742404054	0.235027855074472	0.251891852324614	0.327988350106656	0.259504406387748	0.240619145056925	0.258899972003996	0.239486455929647	0.285592426679727	0.297375877609801	0.254950150232558	0.276192357633949	0.312624880841479	0.230865911423671	0.253095322736129	0.286434587385413	0.251727780723606	0.295335394342206	0.302033765119066	0.232652567243864	0.301990123328688	0.2213833539202	0.293027002644846	0.263340252480214	0.188093410780253	0.339620303414984	0.336385085174739	0.318739177583137	0.30673840296141	0.317051021727754	0.311581778490767	0.310153065275623	0.249667638978732	0.158859314478189	0.305076635002751	0.283458358880847	0.235559634521018	0.269052613230707	0.263985092771522	0.239737230525958	0.250287379286404	0.315026985366157	0.234877712147385	0.33711349313873	0.378839917090933	0.282493853855196	0.383995976990437	0.238862745283197	0.241948292800161	0.323056867293231	0.254275334703552	0.24733160819189	0.274993465663053	0.248323304651175	0.225123442290271	0.275495422620772	0.263248295549806	0.281465936505151	0.19276912617279	0.23737513411237	0.187275163413906	0.226725849301642	0.272288249617132	0.275557417735717	0.204949996830802	0.225617926228455	0.262771940720769	0.313343315574684	0.327744678522546	0.245828868664391	0.283529343063369	0.281433976096002	0.276711164818439	0.242856016211022	0.267699809529592	0.208621290017535	0.284722467640844	0.238159810036272	0.243179638305025	0.301080217691	0.265772378222399	0.282687250422733	0.220081487682785	0.221096577337307	0.209431773818093	0.326806176570943	0.303103938945862	0.353473981042259	0.239012349833283	0.292793007978375	0.338095504802974	0.314104982345535	0.17268202145943	0.31514076857976	0.231074670796333	0.391754704516375	0.328467997991344	0.510909601141342	0.438710087910229	0.487654620811585	0.483142068985772	0.507357702170641	0.468852264347385	0.498916693783371	0.465961471060979	0.450266722684748	0.493049367858631	0.450443010040668	0.485862763165212	0.492137164307797	0.486857394684725	0.504988313202263	0.458106605805762	0.441592890157181	0.440055940596908	0.514575344951061	0.477615727667635	0.466781541520497	0.461568740129031	0.449153298085514	0.472700794395991	0.464399264932797	0.480863631419709	0.511249773349261	0.460665866678538	0.444849858574806	0.402258594233236	0.477829165116451	0.491274483519704	0.51352501427117	0.51101876259822	0.486671695025548	0.49254962727263	0.464048468780265	0.482708125940066	0.46873033786942	0.489800440265158	0.417577145860767	0.430097240366186	0.455534824919849	0.493319180312132	0.458729218224878	0.498222166590768	0.508486795389376	0.491699285277126	0.475437513667272	0.524018509061597	0.487076275760073	0.453138639461561	0.462081160407635	0.436923799346566	0.478113404766664	0.460126766586571	0.477491737114782	0.467903068295771	0.449598513151088	0.46491772963796	0.469383493379543	0.513147179250365	0.396989273406504	0.487272374184678	0.489183830455475	0.462472118512136	0.46184453588479	0.496363667372785	0.41837438654524	0.490821509301494	0.435386603298071	0.434280861520572	0.48405847783167	0.457248777135415	0.484509699145791	0.44906883750112	0.510750234366805	0.513109838654878	0.44775402426226	0.521615969496784	0.482962606973311	0.465252453600021	0.50178505598533	0.487082087938357	0.493249746730297	0.465796924242563	0.454790340133181	0.496150658707146	0.480424499110328	0.475276676938234	0.47195043281634	0.495103513991869	0.436537724823819	0.496018922344089	0.42934102879111	0.477032288277174	0.477242299832682	0.491487074001071	0.472464890688199	0.517559876895022	0.489016254001058	0.476500715995398	0.489452336546665	0.446798552911728	0.454685883021657	0.463970224148843	0.459971831230105	0.505871290395479	0.463543255580598	0.472547487001938	0.451601684868122	0.457356760546246	0.483260296149041	0.462193531700998	0.44750130054742	0.534684951676492	0.466568800199977	0.480610112060295	0.437131128930927	0.478600650501445	0.471501208072427	0.440560620871753	0.452442270271175	0.49580862790289	0.464328048567915	0.474617602547983	0.475005397435535	0.471631550658639	0.458032147789497	0.45549785617672	0.466190572877245	0.453767990449126	0.48915061277976	0.467574380628501	0.47676664179676	0.49601585466542	0.465664865976651	0.498513944900669
Saliva_1290762	0.327179880931058	0	0.300563336332185	0.166613317095066	0.199344010880137	0.173795529611225	0.154638302773744	0.21488308460125	0.174532719738728	0.211477400568119	0.163139791240384	0.15616505608019	0.316345763217974	0.190674649049662	0.194607677137686	0.132892131644697	0.14950931621125	0.14462680854554	0.156401704945483	0.15100147257369	0.193821920468199	0.175462175586466	0.147652891607713	0.217861220369719	0.274807270831771	0.15818333669881	0.138380264430279	0.105585610403645	0.0938731955244088	0.161585009254274	0.211411205426486	0.142522041650077	0.263871078732577	0.259557632866198	0.130167595679011	0.097696124901752	0.173586771518532	0.159735070356077	0.240131723975955	0.233593696483841	0.135450455721586	0.304786963006527	0.127869017355545	0.168268138341888	0.1674735084957	0.132996672905253	0.142459504296234	0.115850841223768	0.175793963023187	0.182875027931893	0.143293996992344	0.169914993798364	0.158416393756458	0.105357168743424	0.198632099644443	0.151156236214099	0.16508249615267	0.170532521579758	0.179879796643684	0.144864733423471	0.17331144269639	0.0949808054530319	0.190255348038626	0.168891557473793	0.158788917311777	0.224329763711006	0.188048346870536	0.0824635849766934	0.142714871770204	0.151574038010783	0.154446553918349	0.125386818946852	0.136631371372902	0.167643021809508	0.228569724453462	0.154403801564911	0.165949044392992	0.159490039677224	0.14293823818826	0.181363007105918	0.15778049009632	0.139181159100423	0.101445730201136	0.157202750830916	0.162707687360625	0.202225960689284	0.225217375009147	0.225830759713427	0.176441735082088	0.174590430101036	0.196498310409909	0.243484676232191	0.225414180635401	0.148704397960009	0.135907113103459	0.175818747607217	0.104639312639067	0.265920829767249	0.113252010616187	0.298097828418383	0.215974745855798	0.235883399857884	0.167433560153589	0.144494288395453	0.113258328348298	0.205847572173657	0.1704181577777	0.194434146994173	0.0730837213040499	0.102496217708658	0.151235476104661	0.146728733373645	0.1359828886143	0.140673667474682	0.192081030738606	0.18733195976415	0.198391242753856	0.137161793825808	0.125699916049076	0.148486378600039	0.212887885082705	0.14623296478112	0.174653926882939	0.167876088680644	0.174333703265967	0.245447053868513	0.150634431181565	0.181938050590552	0.232108653293497	0.183463822890335	0.117090289401128	0.162857812029945	0.111821261421797	0.232755559882838	0.117542366434814	0.203033894399711	0.156841563658676	0.160112338491149	0.402025496769245	0.347032106143143	0.35360349034049	0.374149729813112	0.370336325753439	0.315911025828236	0.348293377212172	0.319193748219872	0.315947033910378	0.396726804111792	0.257662892416142	0.34421358083383	0.357977304849673	0.373609120612472	0.379770707337312	0.38340509378798	0.29952338871896	0.369853478963165	0.399239591547484	0.414868079128894	0.28889151988697	0.299835732047033	0.492585604323211	0.347169966125752	0.526589002460266	0.399461605709897	0.387721130936994	0.39306787783693	0.493757777929692	0.269227716663212	0.371478554394851	0.320987148209513	0.449774031910409	0.416764876440266	0.3479618278733	0.430390834419926	0.302919981586289	0.379868384077582	0.357988231725772	0.369261206058994	0.447300528788649	0.298659334867574	0.278866352353842	0.360660913156472	0.314595122096298	0.402449340696122	0.369502918668498	0.33701172429823	0.327958265524087	0.417942772676046	0.357010282074185	0.322938940118111	0.268017217683725	0.269110263135772	0.341734246387843	0.41441744807558	0.431850798883048	0.423737756572592	0.323487113116706	0.307584462872877	0.402444019252283	0.415410128528827	0.306616759849924	0.290792655378704	0.30197671047448	0.326468346514027	0.34987999756248	0.38159374988719	0.412712027034452	0.425344368694763	0.440557334071191	0.386268049444158	0.367362251041322	0.320546978403974	0.363060387146852	0.31584885193872	0.38141936997619	0.381794664112534	0.280230720771054	0.400684562561896	0.36416863376251	0.33499139670077	0.438386331980594	0.50899819332044	0.351741473211512	0.388481052872064	0.309342687561264	0.365020505138143	0.351551971745767	0.376295210807668	0.413545717330511	0.407550062921142	0.502529056426496	0.378024480542552	0.517558413011723	0.388234875051666	0.53780355331826	0.314364936989056	0.395748595309128	0.393802324418783	0.360397756290799	0.4000102783109	0.366751845810083	0.31516276793653	0.326655974299495	0.325087478417104	0.358928079096098	0.425498505976764	0.340668859995971	0.408584415891087	0.31031057156042	0.305011439794382	0.360739117368212	0.241815952126594	0.289921280699592	0.4192462485051	0.331183406469186	0.321143297819863	0.281692081807912	0.360347235612403	0.40228813177645	0.319461136452713	0.372299044837382	0.39212498449732	0.343737644749946	0.355687675572202	0.355614869890777	0.363866891207321	0.318642758034273	0.281734546581321	0.29593967465765	0.468201975493749	0.396564652744855	0.455958146764966	0.338479291013739	0.40934812966956	0.332029992120751	0.431233240466616
Saliva_1345909	0.20921980673676	0.300563336332185	0	0.25635075659784	0.152190719009606	0.243574925588458	0.231301393229209	0.184784242521824	0.33483916609395	0.277692896143296	0.20162531291951	0.222420995491333	0.199434175850813	0.203679484441207	0.271032503194747	0.235910460681004	0.302594767355724	0.256450770446686	0.230002906098029	0.260155485163541	0.286238874929796	0.254299391332152	0.278934004450425	0.300996308024191	0.238107079623278	0.311558934849223	0.261713992181686	0.304931513640904	0.297654229122596	0.194133989832497	0.219348152891105	0.213709692219761	0.239990820161411	0.264140707611508	0.235403633934784	0.263658173224757	0.284277011304733	0.237990824467024	0.252701045811449	0.269660130355342	0.302535519989644	0.303157015669804	0.237421025137714	0.224293025698613	0.328721845142443	0.26617545411539	0.259535262899863	0.256072183015033	0.291050866635928	0.251766366519284	0.288347499556661	0.240487598506185	0.246577116254706	0.264950758165359	0.181832296857899	0.288595188454066	0.314552253308115	0.287146108524556	0.29114778318056	0.254717798143417	0.194754230376461	0.25801094182171	0.227598188843026	0.281483876038712	0.229660181893423	0.205724504541952	0.350266415619568	0.289134651864589	0.28165483910456	0.255863434126638	0.316738264206736	0.310950954106141	0.311761973231	0.224151655788439	0.191828973289746	0.25552379870565	0.314714043843259	0.27660449740337	0.258716747473967	0.258694909563508	0.260291304637095	0.247655782151558	0.290735882942814	0.208863180467494	0.312662775044959	0.379198260124691	0.272002430934832	0.374282179981091	0.206642067894176	0.242642084232019	0.342667879697146	0.258801378186065	0.274763454290059	0.241419988922959	0.218228158713576	0.240497845335724	0.23412747115783	0.275224544720801	0.246307584492754	0.267704862198962	0.258555196350961	0.165101778767438	0.242898425758097	0.222045022331808	0.235619825448622	0.244078306166339	0.241957149280065	0.249281374406232	0.288421320587101	0.296722778490397	0.203432792045718	0.248384995382502	0.255197519478494	0.254947463565585	0.260458270632857	0.311112670942867	0.209579845269299	0.272479058691261	0.230551218711166	0.230878337720584	0.303495894083121	0.230878953387086	0.270589123663062	0.192407694100469	0.244137619765693	0.276006476340528	0.312842064912127	0.324662998881271	0.363164681251441	0.26250584311994	0.26859439250262	0.327658511953702	0.292901179704486	0.1535660108381	0.282684680117939	0.226495732420787	0.363014560917445	0.328416801702617	0.519785882985696	0.413068005643401	0.49450883009648	0.497859027365519	0.51801636081704	0.451863091127717	0.471845821602941	0.44193709846599	0.443687225665611	0.507485920272673	0.420344959530551	0.472826412168176	0.501526993375177	0.500681290570878	0.520628088589358	0.466371164100171	0.410476740712452	0.452692426775217	0.531710837804428	0.489939902126171	0.437188349158609	0.428600355796864	0.463803791087803	0.48404425846103	0.45895676596082	0.490354500598235	0.528200957429816	0.46332989000694	0.411026223540986	0.395113864380403	0.468996816339818	0.476475343271781	0.531032969098626	0.528302769994277	0.49587041139601	0.512106398423593	0.452776535795875	0.496514187422511	0.459644753499037	0.503125957479003	0.431914830457443	0.403169138750666	0.432077394764689	0.500213421426245	0.458584858651414	0.505863545358523	0.519454221529935	0.484407611252632	0.471170695922404	0.54846287025867	0.49872013846314	0.419546664556354	0.431833171858706	0.398682823948264	0.478281018017079	0.474539342159177	0.494443653862227	0.486969843141283	0.457528083302876	0.432637636731989	0.476866918313614	0.526136483676238	0.357906130239626	0.471798780938903	0.479475321669444	0.4491279877976	0.475740902765952	0.510766895579661	0.429354378735076	0.507114547033849	0.447057370866051	0.450591893194011	0.499552340483002	0.455028456596819	0.49904469917481	0.443148805476058	0.520709655430246	0.52519030814833	0.428202189537983	0.54009923044475	0.477776553919563	0.45959410279523	0.518991052768678	0.510859778889675	0.501395448820284	0.472185516704137	0.444112997201259	0.508651327553471	0.459159192120674	0.484115637203275	0.488244590930833	0.510022632853674	0.425945802859442	0.519170027698727	0.433956474327205	0.478149385352208	0.473926802138144	0.474800454116361	0.481707655139661	0.533893367560792	0.504337294733692	0.489464059940655	0.50787211351191	0.435488067611416	0.436722399529662	0.448525733837764	0.467889753899781	0.520539514286391	0.468953327896116	0.488734683732876	0.435129589678954	0.42982001178905	0.470846589621714	0.42979228917047	0.424771070195962	0.554895178003426	0.469412510790616	0.455144585410958	0.406698077053855	0.473520336369026	0.484343070886356	0.420755582828287	0.446998968607994	0.509323822793072	0.461250876031883	0.468762159780095	0.491341140762713	0.476238204249005	0.429057986346713	0.426898870102357	0.440478373277539	0.473372911765421	0.503973829298563	0.486691120066629	0.4852745638707	0.510670060334139	0.472429315529548	0.512681528565614
Saliva_1363817	0.287547973059	0.166613317095066	0.25635075659784	0	0.191595204280294	0.163191285008366	0.212778170705882	0.161818496955179	0.27096428558113	0.202055586643071	0.165038640577524	0.207143573335408	0.258612208430104	0.168533530529505	0.262556284160504	0.1234975612836	0.252448147280153	0.0962197913142253	0.175993951771419	0.0809346334092266	0.141924466955309	0.181339553731233	0.145306625572603	0.110437608130005	0.30367955458397	0.247451748436703	0.236428938307599	0.210364560689522	0.12492445508159	0.114022325709845	0.242051474353414	0.189735153280842	0.231859480207529	0.215552104243159	0.107390891932695	0.12706703160726	0.236247128526151	0.169295162846526	0.295227405127529	0.276397442873672	0.243041429120581	0.191803549443369	0.195800158166698	0.211274969445948	0.264930345216419	0.150111966567833	0.188473345598195	0.134793204282777	0.241248888093271	0.133126030372309	0.234554097097917	0.130406873163017	0.254275444106909	0.186617502181038	0.198954629770206	0.234305817575401	0.247574597779668	0.214717816446317	0.246016388134505	0.107543494859439	0.187099828812296	0.170669903248811	0.173943124724503	0.262985360546449	0.170740223051159	0.21447190465779	0.276472132172749	0.163566713723576	0.0773187071181841	0.150685185892427	0.224017210216328	0.211034317487952	0.215303912905218	0.181043350777049	0.210477584745538	0.106609822851896	0.18907797053644	0.214664901499233	0.202157096669505	0.148206236208294	0.176620858346356	0.106852882820417	0.142786003923797	0.17814962337423	0.11408330745	0.304580508367563	0.181660191845739	0.310112820208633	0.18773570819544	0.108876371032466	0.284285566267422	0.315943372861143	0.300829981555933	0.155916714976435	0.146289760809152	0.156175274487942	0.158401431670613	0.32550147201737	0.15826318607864	0.246963211964023	0.165694752360538	0.194635231944573	0.18268063984507	0.172654716788872	0.170670806836078	0.218934757822903	0.166656622943963	0.243482660396341	0.151310613449697	0.205982113702352	0.200883562969055	0.242984766646725	0.218606869906669	0.163647670096371	0.285722638306443	0.24076681448551	0.138221253476589	0.197607096655934	0.170179302676489	0.227436711806402	0.293388671318921	0.148520256207832	0.250649970840944	0.173283586417171	0.280157248108822	0.24593693431482	0.274573112039549	0.282519123071997	0.164869749753756	0.248137818820673	0.109543480216078	0.260161279841708	0.217717174020088	0.17929900302024	0.223187481854168	0.205551302451668	0.258384744309237	0.257556801771853	0.439650442189693	0.330346257040775	0.420198131655094	0.41357693430391	0.439188168599078	0.371424047343599	0.275661477889748	0.246254773120539	0.346249692739096	0.424802305650348	0.307796814573428	0.276281364707496	0.425137797991068	0.419539647954729	0.437042048439121	0.387113755479723	0.286440419135043	0.376470675081142	0.453305023533596	0.411635396780095	0.352611749430768	0.334319033412115	0.478942941322553	0.402299399733322	0.513217776224689	0.408480773190412	0.444557292662368	0.388613001258786	0.467406958852346	0.323776954928406	0.366271273072553	0.384988308129266	0.448719153006959	0.446691668884717	0.418989184434544	0.428308492982436	0.32141137351183	0.416717828899261	0.363009574596758	0.422601890188543	0.442269608212918	0.260662423951383	0.289649804259592	0.431008951934557	0.380813495252099	0.426947562399345	0.438554997334908	0.391865968751609	0.395060183762764	0.470822165964922	0.416229040682564	0.253250789316425	0.316188955542263	0.229904559686832	0.402777332055011	0.398062487390996	0.415955726139062	0.407773419801624	0.376962094919362	0.239400451971634	0.396179475499552	0.445199591961293	0.279051080811337	0.341819616420771	0.354275438416375	0.380505752069341	0.393982081075398	0.429168254855888	0.393085112755808	0.425795868784205	0.421999060083299	0.439970537862743	0.417744021648151	0.37980807407832	0.422178921216144	0.361457497476397	0.439940102824759	0.442392096612297	0.350663732178792	0.458777595605818	0.338429453951797	0.382434417547405	0.434807342159414	0.4886395019174	0.421282939853013	0.39451088750676	0.368105882954696	0.42588889557663	0.350650391445198	0.407748935602737	0.409000240169007	0.427457872334725	0.48813737755353	0.433035118028722	0.49160983528143	0.397212274928844	0.517825646021361	0.381330554749458	0.401481110614963	0.450393874395877	0.422542826217849	0.409944533386097	0.422517173161982	0.283635122942635	0.323231609324046	0.366044139895494	0.38417108179967	0.439426657778961	0.389291186500117	0.407592443245526	0.29538532160919	0.260230002932119	0.387429686105002	0.29232399503755	0.328577728974704	0.478075549558149	0.387544957901938	0.378400694039595	0.2073817766298	0.325590102422362	0.404082853803715	0.33476841204901	0.319115819742188	0.426237263859182	0.369769137108519	0.319806876291672	0.417649915637334	0.393974451719315	0.321309253260568	0.303994657279704	0.348487334065134	0.448698497698375	0.421744531070668	0.438675084842911	0.407091635999395	0.429305907615343	0.395322617079207	0.431243144633891
Saliva_1369751	0.222823748978576	0.199344010880137	0.152190719009606	0.191595204280294	0	0.16176598845066	0.177591731869498	0.164352486409976	0.246304409302959	0.200498053687041	0.144685953335694	0.156985396305396	0.183506337790407	0.159800259950189	0.217238693367039	0.130054928722444	0.22430947306646	0.193987566818034	0.135195867000845	0.184915472106349	0.237390155078137	0.167677694043525	0.199178634490865	0.274730309031571	0.224260785461009	0.21787718882862	0.186211981368479	0.202581114598666	0.200216604454766	0.134327917154874	0.163995564318633	0.138237000288602	0.198044501462598	0.218019082388196	0.165842585988733	0.174180371619584	0.203000279614977	0.143647818038772	0.199581725546674	0.206880003575823	0.215674205679039	0.271882615503599	0.142490822955785	0.158543820275046	0.243850254372645	0.159272626230011	0.161778225216567	0.159611969392641	0.203736859243869	0.181015850709314	0.202108130034712	0.170401283629831	0.184552666942896	0.177149905820047	0.114390213982869	0.207532835877573	0.229632175411701	0.195174922323749	0.229825390762082	0.164374818459366	0.128900585674659	0.161315660129954	0.187178912023213	0.212100929295989	0.16634214133309	0.169784126126945	0.255551745547561	0.191076016259413	0.190278957614417	0.194820089690919	0.230388622823617	0.212708931039193	0.196232193615284	0.133695387635514	0.148342074255564	0.189683211432393	0.221315098342253	0.185632936870258	0.167038609726807	0.171509870399044	0.151678642674843	0.185184542881049	0.195176746610125	0.123184093870208	0.236048813583028	0.29516884648906	0.221144630757733	0.291198171685209	0.147574726370364	0.190626771096499	0.26381883947942	0.231310907431676	0.205135750826253	0.166331364958003	0.145524812567535	0.171397806772521	0.158310785228818	0.234100534877476	0.16063513011722	0.237233274934384	0.21396584551825	0.122421785115568	0.153918235184444	0.143242672122424	0.160038036686341	0.171077237712286	0.154912326180752	0.180478486862193	0.189083318919714	0.18911313326778	0.119248408069513	0.167757814464219	0.185534944124216	0.163191252154367	0.202378059539392	0.221041952494381	0.179708049727239	0.170041612187717	0.134802905532539	0.165484575222178	0.248187931086653	0.145220870004493	0.207684783221264	0.0999823385369672	0.185302140996002	0.232285766098923	0.235320881214863	0.247171558137463	0.302825855116159	0.176117884728652	0.184410550197067	0.241610800568807	0.18784098708812	0.119589617180063	0.199680476498626	0.155327988853095	0.276094121652964	0.229232986483192	0.457507156042936	0.371849472448527	0.434236355007924	0.432822068602513	0.453820999986674	0.392062529998343	0.431044780710787	0.388722490496323	0.374620279441935	0.444740705416412	0.350166565042222	0.417307151554014	0.4410240200209	0.443663217982338	0.456966661959481	0.415305644000436	0.348892801525555	0.399538591938214	0.470683310669387	0.448150353286133	0.368786851811269	0.359513275835963	0.451018610291801	0.422668945299483	0.478231692557887	0.434943471227209	0.464669916127584	0.425944795155794	0.440756239948733	0.334670739524334	0.416425733642292	0.404525126480848	0.487650178445426	0.469942203079201	0.430932110461878	0.46443398492026	0.38319399656671	0.437695849535899	0.396592952796503	0.44164930028674	0.398090725049195	0.356918086777698	0.361431159972447	0.440469470376788	0.395175986360145	0.445051580879417	0.456188114021336	0.410775256789513	0.410281878751169	0.487911279521386	0.43486860332382	0.371969780713385	0.360968074532768	0.343681310013478	0.419434397226034	0.438148495929051	0.457411410397366	0.449956011363763	0.3972718994898	0.384905600399598	0.437179392659191	0.465568518314185	0.309595471637483	0.400264558917224	0.405162312961571	0.3934589999875	0.415095497547396	0.449096146090932	0.386258547649106	0.461677770780606	0.415194380196864	0.391520879539548	0.436385428327225	0.396690030537078	0.439714707462829	0.385116264141889	0.458334162626768	0.459438757505468	0.3614251118527	0.475892691487503	0.428292405502156	0.400614041975575	0.476092780485824	0.472620448574107	0.438592480769126	0.423335034849926	0.379929798275063	0.446143504207874	0.401728624404931	0.425596829134195	0.447936955382206	0.447360575388532	0.45735584251629	0.456094057784611	0.464636934205095	0.422333644707754	0.494388122000553	0.402320123539976	0.431386055321646	0.471655424758767	0.441106465016162	0.434396179790072	0.445023336363995	0.378520803512311	0.374226126413608	0.38319480625186	0.406628044790402	0.461279684907984	0.411003462092364	0.441828159430217	0.368805599232397	0.37389912851954	0.404183870414882	0.353741345267847	0.355404213880593	0.494198125278455	0.406529219876292	0.396978330817812	0.354528543477826	0.423311530989624	0.434657141123819	0.352584997097142	0.39786959802911	0.447576082176652	0.392539746434769	0.417890495528175	0.42977862613853	0.411485703470743	0.360391802315828	0.355660141446405	0.370066136049983	0.439082522966762	0.444941973200433	0.449505866005961	0.42357503807821	0.450070031030282	0.410657559113718	0.468463561388037
